book,asset,asset_class,venue,quantity,avg_entry,last_price,currency,position_type,leverage,tac_id,as_of_date
passive,IVV,etf,commsec_au,37,63.508,70.520,AUD,spot,,,2026-06-02
passive,CRED,etf,commsec_au,26,24.134,22.720,AUD,spot,,,2026-06-02
passive,QQMG,etf,stake,10,41.76,51.50,USD,spot,,,2026-06-02
conviction,GOOGL,equity,commsec_intl,1,159.00,365.90,USD,spot,,,2026-06-02
conviction,IGM,etf,commsec_intl,1,133.27,169.20,USD,spot,,,2026-06-02
conviction,GOOG,equity,stake,1,169.06,372.58,USD,spot,,,2026-06-02
conviction,NVDA,equity,stake,1,187.81,224.36,USD,spot,,,2026-06-02
conviction,META,equity,stake,0.1956,688.40,600.47,USD,spot,,,2026-06-02
conviction,MSFT,equity,stake,0.3661,436.38,460.52,USD,spot,,,2026-06-02
conviction,CRWV,equity,stake,1,138.82,124.82,USD,spot,,,2026-06-02
conviction,BLSH,equity,stake,1,57.10,32.12,USD,spot,,,2026-06-02
conviction,GPRO,equity,stake,5,0.60,1.10,USD,spot,,,2026-06-02
conviction,DRAM,etf,stake,1,65.58,68.00,USD,spot,,,2026-06-02
conviction,ETH,crypto_spot,phantom,0.1105,,2756.56,USD,spot,,,2026-06-02
conviction,BTC,crypto_spot,phantom,0.001484,,96745.28,USD,spot,,,2026-06-02
conviction,jitoSOL,crypto_spot,phantom,1.03504,,101.36,USD,spot,,,2026-06-02
conviction,SYRUP,crypto_spot,exchange,232.558,,0.15123,USD,spot,,,2026-06-02
conviction,HYPE,crypto_spot,hyperliquid,0.28980513,57.193,73.29,USDC,spot,,,2026-06-02
tactical,USDC,cash,hyperliquid,51.10,1,1,USDC,spot,,,2026-06-02
tactical,GOOGL,equity_perp,hyperliquid,0.519,389.89,365.72,USDC,long,10,,2026-06-02
tactical,NVDA,equity_perp,hyperliquid,1.370,228.73,227.14,USDC,long,15,,2026-06-02
